topic,term,beta
1,12_hour_shift,2.6607542794186214e-177
2,12_hour_shift,3.343848845996214e-139
3,12_hour_shift,6.2747855401747655e-189
4,12_hour_shift,1.2574298672276765e-124
5,12_hour_shift,2.5010917127304713e-104
6,12_hour_shift,1.880928677296799e-4
7,12_hour_shift,4.871695017671819e-161
8,12_hour_shift,3.5548161968046974e-142
9,12_hour_shift,8.563427299833739e-225
10,12_hour_shift,8.586608986536377e-97
11,12_hour_shift,5.149018835152435e-191
12,12_hour_shift,1.7268529168732733e-214
13,12_hour_shift,6.479845283061094e-193
14,12_hour_shift,5.410815893011404e-177
15,12_hour_shift,5.1675342590244056e-113
16,12_hour_shift,7.743703985653758e-109
1,15_min_break,4.50481228821153e-278
2,15_min_break,1.75029794031e-312
3,15_min_break,6.87e-322
4,15_min_break,2.95118254968788e-204
5,15_min_break,1.6958455474162975e-303
6,15_min_break,0.0037618573545935992
7,15_min_break,2.3037432299208307e-270
8,15_min_break,3.8193473809524903e-299
9,15_min_break,0
10,15_min_break,1.8559587361208514e-257
11,15_min_break,4.305989189904717e-304
12,15_min_break,0
13,15_min_break,1.2754367081804929e-300
14,15_min_break,8.56133430032222e-307
15,15_min_break,6.49685760084126e-294
16,15_min_break,2.2865003728969166e-246
1,15_minut_break,1.8170115151435225e-280
2,15_minut_break,0
3,15_minut_break,3.148331354e-314
4,15_minut_break,3.6212261912917947e-218
5,15_minut_break,1.2365223578676342e-293
6,15_minut_break,0.00833878380268248
7,15_minut_break,1.5979768903076568e-274
8,15_minut_break,4.1134828166863474e-274
9,15_minut_break,5.04e-322
10,15_minut_break,1.3568985667670894e-234
11,15_minut_break,5.312307212812802e-291
12,15_minut_break,1.799e-320
13,15_minut_break,3.247554099610041e-300
14,15_minut_break,7.390830619858e-311
15,15_minut_break,4.397200945251321e-275
16,15_minut_break,1.7299744300773476e-224
1,15_minut_paid,3.2433283992369916e-285
2,15_minut_paid,0
3,15_minut_paid,9.553e-320
4,15_minut_paid,7.06663512408775e-245
5,15_minut_paid,2.5845622719128315e-230
6,15_minut_paid,3.134881128827998e-4
7,15_minut_paid,3.506017534872374e-290
8,15_minut_paid,6.35384507073811e-185
9,15_minut_paid,0
10,15_minut_paid,4.078792937116304e-172
11,15_minut_paid,9.73265988988051e-298
12,15_minut_paid,0
13,15_minut_paid,5.894064144224574e-305
14,15_minut_paid,0
15,15_minut_paid,1.253348286715487e-272
16,15_minut_paid,2.367179315718766e-237
1,2_15_min,1.0863992525651348e-156
2,2_15_min,0
3,2_15_min,8.0976855e-317
4,2_15_min,1.4386203749815908e-186
5,2_15_min,5.6782613258e-314
6,2_15_min,3.761857354593598e-4
7,2_15_min,6.086120485399478e-233
8,2_15_min,5.964818255932082e-292
9,2_15_min,1.425737e-317
10,2_15_min,9.20920897016498e-236
11,2_15_min,3.7095429391767853e-306
12,2_15_min,2.005873129860883e-216
13,2_15_min,2.189604941632356e-307
14,2_15_min,3.5901876188381025e-303
15,2_15_min,1.4538317345779597e-259
16,2_15_min,4.9486907480346016e-235
1,2_15_minut,5.306498655489972e-305
2,2_15_minut,0
3,2_15_minut,0
4,2_15_minut,8.202825587162815e-252
5,2_15_minut,0
6,2_15_minut,0.0011912548289546398
7,2_15_minut,3.944110945073502e-295
8,2_15_minut,0
9,2_15_minut,0
10,2_15_minut,4.134984264098831e-240
11,2_15_minut,0
12,2_15_minut,0
13,2_15_minut,7.243076116044834e-309
14,2_15_minut,0
15,2_15_minut,2.61173224e-316
16,2_15_minut,4.168361711242839e-245
1,2_break_hour,7.67257350191013e-244
2,2_break_hour,0
3,2_break_hour,3.405265971831397e-307
4,2_break_hour,3.7490556163775713e-237
5,2_break_hour,6.875111653378754e-274
6,2_break_hour,1.880928677296799e-4
7,2_break_hour,9.283180708175799e-276
8,2_break_hour,3.374305768274192e-294
9,2_break_hour,0
10,2_break_hour,1.6273426327857818e-274
11,2_break_hour,9.824764593409836e-202
12,2_break_hour,0
13,2_break_hour,6.1944727071504045e-295
14,2_break_hour,2.14149530004e-312
15,2_break_hour,0
16,2_break_hour,1.1709164714291123e-241
1,2_day_week,5.353219457005084e-207
2,2_day_week,8.358992099224576e-213
3,2_day_week,1.2728517204259867e-169
4,2_day_week,1.236356250621263e-202
5,2_day_week,1.0660952065920438e-282
6,2_day_week,3.3077782054088315e-209
7,2_day_week,1.159778776311883e-199
8,2_day_week,1.5312253580060645e-231
9,2_day_week,1.9169384098051413e-173
10,2_day_week,1.828446035034545e-4
11,2_day_week,1.7432378426399183e-185
12,2_day_week,9.335491975924009e-232
13,2_day_week,7.706417667976532e-199
14,2_day_week,5.342067392415328e-81
15,2_day_week,6.787397178740862e-187
16,2_day_week,4.35631468232217e-167
1,2_fifteen_minut,0
2,2_fifteen_minut,0
3,2_fifteen_minut,0
4,2_fifteen_minut,0
5,2_fifteen_minut,0
6,2_fifteen_minut,1.2539524515312001e-4
7,2_fifteen_minut,0
8,2_fifteen_minut,0
9,2_fifteen_minut,0
10,2_fifteen_minut,0
11,2_fifteen_minut,0
12,2_fifteen_minut,0
13,2_fifteen_minut,0
14,2_fifteen_minut,0
15,2_fifteen_minut,0
16,2_fifteen_minut,2.663813062765e-312
1,2_paid_15,0
2,2_paid_15,0
3,2_paid_15,0
4,2_paid_15,6.926309382747124e-268
5,2_paid_15,0
6,2_paid_15,1.2539524515312001e-4
7,2_paid_15,2.5944271743340816e-301
8,2_paid_15,0
9,2_paid_15,0
10,2_paid_15,8.307135291771994e-200
11,2_paid_15,0
12,2_paid_15,0
13,2_paid_15,0
14,2_paid_15,0
15,2_paid_15,2.3597808382316566e-292
16,2_paid_15,3.8735600953080144e-236
1,20_discount_cv,3.428582010275643e-240
2,20_discount_cv,0
3,20_discount_cv,1.6349230762629553e-286
4,20_discount_cv,2.4057372735305436e-4
5,20_discount_cv,0
6,20_discount_cv,2.5845643723687096e-290
7,20_discount_cv,3.4276358866132126e-244
8,20_discount_cv,1.020810756287115e-309
9,20_discount_cv,4.2629854953965787e-209
10,20_discount_cv,0
11,20_discount_cv,8.120830845558474e-210
12,20_discount_cv,7.4e-323
13,20_discount_cv,8.662269770886012e-277
14,20_discount_cv,7.421438864458802e-282
15,20_discount_cv,1.2390925690279242e-304
16,20_discount_cv,1.914253417e-315
1,25_cent_drink,2.9520959466508864e-202
2,25_cent_drink,2.530646700386693e-187
3,25_cent_drink,5.187002930354227e-167
4,25_cent_drink,4.084815388989571e-210
5,25_cent_drink,9.129929552765004e-27
6,25_cent_drink,3.582026077792504e-235
7,25_cent_drink,1.300138146168125e-180
8,25_cent_drink,1.7843767712501628e-140
9,25_cent_drink,8.880829148577753e-160
10,25_cent_drink,9.082327029146345e-187
11,25_cent_drink,3.676363906590801e-139
12,25_cent_drink,9.829508533890925e-177
13,25_cent_drink,1.2303299043885784e-193
14,25_cent_drink,2.959956363006185e-4
15,25_cent_drink,1.2382312054108855e-215
16,25_cent_drink,2.369062515006715e-201
1,25_cent_soda,6.759917580643268e-203
2,25_cent_soda,1.1115318506188675e-147
3,25_cent_soda,2.43147845813709e-147
4,25_cent_soda,4.3045715365431973e-212
5,25_cent_soda,3.498040488700601e-98
6,25_cent_soda,2.1922255858889634e-243
7,25_cent_soda,3.523902110227817e-233
8,25_cent_soda,2.125610980111505e-4
9,25_cent_soda,4.5757718334298415e-202
10,25_cent_soda,2.4455391121465736e-130
11,25_cent_soda,2.244000606887185e-182
12,25_cent_soda,1.8313259278377177e-181
13,25_cent_soda,1.3245479083705945e-161
14,25_cent_soda,1.7078293110356807e-129
15,25_cent_soda,2.966098316683196e-216
16,25_cent_soda,2.4421517918935536e-197
1,3_4_day,1.5931022752381448e-259
2,3_4_day,1.3542791395844562e-229
3,3_4_day,9.317584159456502e-135
4,3_4_day,4.405576091827292e-234
5,3_4_day,4.417565029742665e-5
6,3_4_day,3.601758308550383e-164
7,3_4_day,4.3104287217233896e-272
8,3_4_day,1.3601933660110422e-190
9,3_4_day,2.024253877768394e-307
10,3_4_day,6.651116879161022e-5
11,3_4_day,1.1318838875208953e-237
12,3_4_day,2.934413983832631e-272
13,3_4_day,3.338202371298522e-70
14,3_4_day,2.829391279881259e-224
15,3_4_day,2.040942496709062e-214
16,3_4_day,8.228345390484887e-206
1,3_day_free,1.9651292141307056e-203
2,3_day_free,1.8967118243878964e-201
3,3_day_free,5.441198752380444e-235
4,3_day_free,2.1721870579506437e-104
5,3_day_free,9.722542449537634e-5
6,3_day_free,2.93831851350414e-194
7,3_day_free,1.758894859751276e-267
